"county","House_Rent","Unemployed","Property.Tax","House_market_price","White_Race","Age","Population"
"Taylor County",5.44,20.2959644,227.48,64590,58.5,43.6,8401
"Telfair County",4.96,3.789771562,236.02,62808,57,40.4,16416
"Terrell County",6.01,15.55398129,350.88,84604,36.6,40.4,9213
"Thomas County",7.28,9.266915888,372.27,137087,59.6,39.9,44824
"Tift County",6.36,5.441006734,289.24,125170,61.4,35.2,40787
"Toombs County",5.99,8.07355454,228.43,100115,65.1,36.4,27210
"Towns County",6.47,8.960191571,412.16,194995,97.7,52.8,10800
"Treutlen County",4.53,4.464090218,193.71,79179,65.2,37.5,6762
"Troup County",8.16,11.29253486,268.3,133036,61.5,36.1,68867
"Turner County",6.08,12.99170984,395.01,78956,54.7,37.8,8338
"Twiggs County",4.71,5.669557522,0,59214,56.8,47.2,8509
"Union County",5.82,12.08217255,321.28,205908,96.8,54.2,21725
"Upson County",6.69,10.76503626,341.23,95325,68.8,42.2,26528
"Walker County",6.49,7.471747027,130.67,133524,93,41,68285
"Walton County",9.74,7.277006521,0,179209,80.1,38.4,86201
"Ware County",5.83,6.519914061,289.42,87530,66.4,38.4,35723
"Warren County",5.43,16.4094697,387.46,69379,36.9,46.1,5561
"Washington County",5.5,12.23558471,295.57,89535,45,39.8,20785
"Wayne County",6.28,10.76277064,332.88,101784,74.9,37.9,30046
"Webster County",4.37,5.79180432,0,51226,54,45.6,2720
"Wheeler County",3.85,12.63365085,306.9,55013,61.3,38.6,7956
"White County",7.48,6.011321115,262.14,173502,95.1,44.1,27791
"Whitfield County",7.12,9.163845214,185.54,141899,76.6,35.3,103456
"Wilcox County",4.82,7.601260206,296.87,72274,61.7,40,8972
"Wilkes County",5.93,6.896127273,391.55,106016,53,45.2,9991
"Wilkinson County",5.15,5.530094162,0,79624,58.5,42.7,9386
"Worth County",6.04,9.515244698,284,71565,70.3,41.1,21156
